[INFO:2022-10-08 18:09:08,358] Настройка логгирования окончена!
[INFO:2022-10-08 18:09:09,319] бот запущен
[INFO:2022-10-08 18:09:09,322] Bot running
[INFO:2022-10-08 18:11:05,682] Настройка логгирования окончена!
[INFO:2022-10-08 18:11:06,659] бот запущен
[INFO:2022-10-08 18:11:06,661] Bot running
[INFO:2022-10-08 18:31:42,108] Настройка логгирования окончена!
[INFO:2022-10-08 18:31:43,166] бот запущен
[INFO:2022-10-08 18:31:43,168] Bot running
[INFO:2022-10-08 18:32:22,099] Bot running
[INFO:2022-10-08 18:32:31,091] Bot running
[INFO:2022-10-13 16:13:46,422] Bot running
